nome_da_imagem,total_detectado,confianca_media,data_hora,caminho_imagem_original,caminho_imagem_resultado,funcionario_id,funcionario_nome
-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63.jpg,7,0.486,2026-05-28T22:53:23,c:\Users\Carla Batista\Desktop\desafio-1\dataset_detect\images\test\-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63.jpg,c:\Users\Carla Batista\Desktop\desafio-1\outputs\notebook_analysis\-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63_20260528_225323_796845.jpg,notebook,Teste Notebook
-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63.jpg,7,0.4863,2026-05-28T23:00:27,c:\Users\Carla Batista\Desktop\desafio-1\dataset_detect\images\test\-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63.jpg,c:\Users\Carla Batista\Desktop\desafio-1\outputs\notebook_analysis\-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63_20260528_230027_187815.jpg,notebook,Teste Notebook
-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63.jpg,2,0.8664,2026-05-28T23:03:47,c:\Users\Carla Batista\Desktop\desafio-1\dataset_detect\images\test\-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63.jpg,c:\Users\Carla Batista\Desktop\desafio-1\outputs\notebook_analysis\-2022-11-26-233904_png.rf.5a6dfb10717953e92a860abfa0ebac63_20260528_230347_342512.jpg,notebook,Teste Notebook
